Extract No.	Need to be Checked(Y/N)	Old Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)	SD ReadLen (Mapped)	ReadLen (All)	SD ReadLen (All)	Museum Code	Age	Period	Neolithic (Y/N/W)	Group	Country	Location	Site Code/Name	Wild/Dom Status	GMM Status	Desired Cov / Current Cov	Seq. strategy (N*S=lane * Shotgun; N*W=lane*WG Wapture; M=mt Capture). UDG for >55bp	Sequencing Status	Source Person	Other Details	Other Details2	Old Haplogroup	Consensus	Internal	External	Lat	Long	mtDNA_cov	mtDNA_bp	DNA	GMM ID (AE)	mtDNA source
AA193	N	GL27a	1194	353342	0.33791624	0.014150596	0	0.3568	29.66080402	20.74524407	73.55280154	5.574974938	Arbon?	3384-3370 BC cal	Neolithic	W		Switzerland	Arbon	ARBON	Wild?			M		Jörg Schibler		48 D002014	DNW	-	10	33	47.52	9.43	0	0	0	yes	NA
AA195	N	GL489	881	61490	1.432753293	0.037404456	0	0.4075	18.47105562	4.851840316	70.12148317	12.55014598	38	3384-3370 BC cal	Bronze Age	N		Switzerland	Arbon	ARBON				M		Jörg Schibler		MZ (or M2) D003417	DNW	-	12	33	47.52	9.43	0	0	0	yes	NA
AA051	N	LG277	663	129410	0.512325168	0.081910208	1	0.0347	20.35143288	3.928576101	52.03981918	17.87294002	DNA sample 23, Bag 9	3rd millennium BC		N	NED-A	Syria		Atij						Melinda Zeder			DNW	ArmT	12	23	38.22	41.24	0.445735268	5816	1	no	NGS
AA241	N	GL7	70322	832333	8.448781918	3.611655431	95	0.0204	30.4368994	10.16700121	40.99391263	14.53734676	34	OS (~6000-5500 BC cal)	Late mesolithic	N	EUW-A	Switzerland	Birsmatten-Basisgrotte	BB	Wild			M | W	Need to Capture, PP and TS	Jörg Schibler			DNW	Eu			47.45	7.55	5.71462108	15557	3	no	NGS
AA242	N	GL8	195	60379	0.32295997	0.02318687	0	0.2615	21.54166667	8.258816014	65.23813155	14.01555475	33	OS (~6000-5500 BC cal)	Late mesolithic	N		Switzerland	Birsmatten-Basisgrotte	BB	Wild					Jörg Schibler			DNW	-	5	37	47.45	7.55	0.003792211	63	0	yes	NA
AA243	N	GL9	8677	646979	1.341156359	0.246375848	30	0.0701	22.11971744	7.542971862	45.98125689	13.91578929	35		Mesolithic	N	EUD-A	Switzerland	Birsmatten-Basisgrotte	BB	Wild			M		Jörg Schibler			DNW	Y2	6	37	47.45	7.55	0.524589177	6369	1	no	NGS
AA245	N	GL6a	3143	68974	4.556789515	1.512164004	0	0.0608	29.17107046	11.23864854	46.96874228	16.24269677	31	OS (~6000-5500 BC cal)	Mesolithic	N		Switzerland	Birsmatten-Basisgrotte	BB	Wild			M		Jörg Schibler			DNW	-	8	37	47.45	7.55	0.005116475	85	0	yes	NA
AA492	Y	GL401?	2143	400383	0.53523751	0.099155059	3	0.3196	29.37585734	16.36076693	55.63502695	13.71666319	#N/A	early 4th Mil BC	Neolithic	Y	?	France	Paris	Bercy		Domestic(98.27%)				Anne Tresset	90		?	-	1	37	48.84	2.38	0.009510624	158	0	BCY_42	NA
AA493	Y	GL428	774	53774	1.43935731	0.180384572	0	0.5362	22.42061281	11.8020791	66.37054667	13.06794828	43	early 4th Mil BC	Chasseen culture	Y	?	France	Paris	Bercy	domestic	2 teeth-> Domestic (86.93%), Wild (99.29%)		M		Anne Tresset	43		DNW	Eu	2	37	48.84	2.38	0.294167218	4172	1	BCY_26	NGS
AA494	N	GL450	1164	176468	0.659609674	0.052700773	0	0.2698	19.53176471	5.612291151	62.01119475	14.50099238	39	early 4th Mil BC	Chasseen culture	Y		France	Paris	Bercy	domestic					Anne Tresset	39		DNW	-	3	37	48.84	2.38	0	0	0	no	NA
AA495	Y	GL497	488	51043	0.956056658	0.058773975	0	0.4242	19.29181495	4.838857294	62.07819262	13.80982568	82	early 4th Mil BC	Chasseen culture	Y	?	France	Paris	Bercy				M		Anne Tresset	82		DNW	Eu	4	37	48.84	2.38	0.63040992	7496	1	no	NGS
AA496	N	GL569	52	5970	0.871021776	0.083752094	0	0.0769	19.89583333	7.669335413	65.68069058	13.46886581	26	early 4th Mil BC	Chasseen culture	W	EUW-A	France	Paris	Bercy	domestic	Wild(63.37%)		M		Anne Tresset	26		DNW	Eu	5	37	48.84	2.38	0.081803407	1358	1	BCY_12	NGS
AA497	N	GL570	1038	218893	0.474204292	0.115124741	3	0.3536	35.39493294	21.44762252	66.8330908	10.64500597	33	early 4th Mil BC	Chasseen culture	W	EUW-A	France	Paris	Bercy	domestic	Wild(72.52%)				Anne Tresset	33		DNW	Y1	6	37	48.84	2.38	5.746042256	15583	1	BCY_16	NGS
AA498	N	GL573	1448	27030	5.357010729	0.162782094	1	0.5497	18.65184049	6.386425672	60.1343295	16.73920524	44	early 4th Mil BC	Chasseen culture	Y	EUD-A	France	Paris	Bercy	Domestic	Domestic(82.18%)		M		Anne Tresset	44		ANC-Aside	Eu	7	37	48.84	2.38	0.003852405	64	0	BCY_27	PCR
AA499	Y	GL699	478	42475	1.125367863	0.040023543	0	0.4812	19.97983871	8.866737003	63.8610013	12.89821233	6	early 4th mill BC	Neolithic	Y	?	France	Paris	Bercy		2 teeth-> Domestic (100%), Wild (51.98%)		M		Antonio Tagliacozzo	60	Wrong GL number?	DNW	Eu	8	37	48.84	2.38	0.274303256	3866	1	BCY_39	NGS
AA500	Y	GL802	623	276383	0.225411838	0.017005387	0	0.2536	20.22580645	8.63374623	65.23927595	11.62653602	58	early 4th Mil BC	Chasseen culture	W	?	France	Paris	Bercy	Wild	2 teeth-> Domestic (87.4%), Wild (92.9%)		M		Anne Tresset	58		DNW	Eu	9	37	48.84	2.38	0.415096611	5391	1	BCY_37	NGS
AA501	Y	GL816	987	52290	1.887550201	0.218014917	0	0.4154	27.2322357	17.5857463	61.5156515	14.98968675	51	early 4th Mil BC	Chasseen culture	W	?	France	Paris	Bercy	Wild	2 teeth-> Domestic (86.4%), Wild (99.8%)		M		Anne Tresset			DNW	Eu	10	37	48.84	2.38	0.102209113	1483	1	BCY_33	NGS
AA502	N	GL824	463	31642	1.463245054	0.499336325	0	0.0778	32.57377049	14.64673418	56.37625767	14.29766891	42	early 4th Mil BC	Chasseen culture	Y	EUD-A	France	Paris	Bercy	Domestic	Domestic(57.43%)		M		Anne Tresset			ANC-Aside	Eu	11	37	48.84	2.38	0	0	0	BCY_25	PCR
AA503	N	GL831	384	92865	0.413503473	0.025843967	0	0.3516	19.70281124	5.15251584	59.84768683	12.86851537	50	early 4th Mil BC	Chasseen culture	W	EUW-A	France	Paris	Bercy	Wild?	Wild(71.67%)		M		Anne Tresset			DNW	Eu	12	37	48.84	2.38	0.278095467	3923	1	BCY_32	NGS
AA504	N	GL859	65	6091	1.067148252	0.065670662	0	0	19.73846154	2.970042735	58.30356263	15.50052551	20	early 4th Mil BC	Chasseen culture	Y	EUD-A	France	Paris	Bercy	Domestic	Domestic(72.52%)		M		Anne Tresset			ANC-Aside	Eu	13	37	48.84	2.38	0	0	0	BCY_09	PCR
AA505	N	GL899	682	86732	0.786330305	0.079555412	0	0.4619	24.33242507	14.35207608	66.79524862	11.18710438	103	6000 BC cultural	Neolithic	W		France	Paris	Bercy	Wild			M		Adrian Balacescu			DNW	-	1	38	48.84	2.38	0.041654126	692	0	no	NA
AA506	N	GL898	137	117932	0.11616864	0.018654818	0	0.0876	27.552	16.207553	67.88413331	10.12826932	49	early 4th Mil BC	Chasseen culture	Y	EUD-A	France	Paris	Bercy	domestic					Anne Tresset			DNW	Eu	2	38	48.84	2.38	1.420453861	10727	1	no	NGS
AL1142	N	GL846		NA	NA	NA	NA	NA	NA	NA	NA	NA	14	early 4th Mil BC	Chasseen culture	Y	EUD-A	France	Paris	Bercy	Domestic	Domestic(99.01%)				Anne Tresset				Y1			48.84	2.38	0.141696262	1831	3	BCY_04	NGS
AA296	N	GL1027	74	4692	1.5771526	0.404944587	0	0.0405	35.04225352	22.74733053	67.59053103	13.17733002	FR1	ca. 900-700 cal. BC	Final Bonze Age IIIb	N	EUD-A	France	Seine-&-Marne, Yonne Valley	Boulancourt; 26, caree J6, Fosse ext	Domestic			M		Adrian Balacescu/Jean-Denis Vigne	FR1		ANC-Aside	Eu	5	41	47.80	3.57	0	0	0	no	PCR
AA297	N	GL1028	4217	127695	3.302400251	0.586553898	5	0.3813	31.62054427	15.89116959	51.43872088	15.3039859	FR2	ca. 900-700 cal. BC	Final Bonze Age IIIb	N	EUD-A	France	Seine-&-Marne, Yonne Valley	Boulancourt; 26, caree J6, Fosse ext	Domestic			M		Adrian Balacescu/Jean-Denis Vigne	FR2		ANC-Aside	Eu	6	41	47.80	3.57	0.236922892	2710	1	no	BOTH
AA298	Y		1194	53222	2.243433167	0.60125512	1	0.2353	37.10514786	21.59617173	58.06620578	15.01409799			Final Bonze Age IIIb	N	?	France	Seine-&-Marne, Yonne Valley	Boulancourt; 26, caree J6, Fosse ext				M		Adrian Balacescu/Jean-Denis Vigne	FR3			Eu	7	41	47.80	3.57	0.28050322	3830	1	no	NGS
AA299	Y		3164	448032	0.706199557	0.188379401	1	0.0493	27.70079787	12.80134884	46.39407336	11.77769787			Final Bonze Age IIIb	N	?	France	Seine-&-Marne, Yonne Valley	Boulancourt; 26, caree J6, Fosse ext						Adrian Balacescu/Jean-Denis Vigne	FR4			Eu	8	41	47.80	3.57	0.290495395	3930	1	no	NGS
AA300	Y		3946	947962	0.416261411	0.092303278	0	0.0258	25.34157128	12.81480527	50.69332074	13.30649553			Final Bonze Age IIIb	N	?	France	Seine-&-Marne, Yonne Valley	Boulancourt; 26, caree J6, Fosse ext						Adrian Balacescu/Jean-Denis Vigne	FR5			Eu	10	41	47.80	3.57	0.257629567	3758	1	no	NGS
AA015	N	GL468	1160	106624	1.087935174	0.448304322	42	0.0897	38.91810345	19.99441725	58.46309461	18.76084539	ZMK 17/1935	2800-2600 BC	mid neo A phase III	Y	EUD-A	Denmark	Als	Bundsø	Domestic			M		Kim Aaris-Sørensen				Eu	3	21	56.02	10.26	2.820020466	14556	1	no	NGS
AA078	Y	GL1030	204	38702	0.527104542	0.144695365	0	0.0049	30.78921569	17.20922199	54.15590926	17.59262658	29	3000-1600 BC	Bronze Age	N	?	Romania	Buzău County	Carlomanesti	Domestic					Adrian Balacescu	2003, Cpl. 4		ANC-Aside	Eu	3	22	45.30	26.71	0.015048456	250	0	no	PCR
AA067	N	GL432	3010	287382	1.047386406	0.107174423	6	0.5332	22.06877076	11.22403602	58.33645113	18.00356775	7	mid 5th - mid 4th millennium BC	Chalcolithic	N	EUD-A	Romania	Calarasi County, Island nr Giurgiu	Căscioarele A	Domestic			M		Alexandru Dinu	5157		ANC-Y1-6A	Y1	12	24	44.21	27.32	0.329862156	4361	1	no	BOTH
AA069	N	GL568	4646	30001	15.48615046	0.473317556	2	0.8248	18.11687473	5.690161793	53.95830139	27.87478002	8	mid 5th - mid 4th millennium BC	Chalcolithic	N	EUD-A	Romania	Calarasi County, Island nr Giurgiu	Căscioarele A	Domestic			M		Alexandru Dinu	5068		ANC-Y1-6A	Y1	1	25	44.21	27.32	0.012640703	210	0	no	PCR
AA070	N	GL575	1118	236699	0.472329837	0.238699783	0	0.0295	45.27370304	20.7658267	62.71138873	19.69481408	12	mid 5th - mid 4th millennium BC	Chalcolithic	W	BLW-A	Romania	Calarasi County, Island nr Giurgiu	Căscioarele A	Wild					Alexandru Dinu	5150		ANC-Cside	Eu	2	25	44.21	27.32	0.006801902	113	0	no	PCR
AA071	N	GL576	110	123206	0.089281366	0.02029122	0	0	30.69090909	17.95445076	61.21759492	17.85535485	10	mid 5th - mid 4th millennium BC	Chalcolithic	N	EUD-A	Romania	Calarasi County, Island nr Giurgiu	Căscioarele A	Domestic					Alexandru Dinu	5138		ANC-Y1-6A	Y1	3	25	44.21	27.32	0.005778607	73	0	no	PCR
AA072	N	GL803	82840	379198	21.84610678	12.99004742	25	0.0088	48.35298165	13.67678679	54.65687846	18.29291577	14	mid 5th - mid 4th millennium BC	Chalcolithic	N	EUD-A	Romania	Calarasi County, Island nr Giurgiu	Căscioarele A	Domestic			M		Alexandru Dinu	5159		ANC-Y1-6A	Y1	4	25	44.21	27.32	0.335640763	4652	3	no	BOTH
AA073	N	GL834	484	50138	0.965335674	0.35701464	1	0.1302	36.73760331	18.19401283	90.22884838	13.61068319	15	mid 5th - mid 4th millennium BC	Chalcolithic	N	EUD-A	Romania	Calarasi County, Island nr Giurgiu	Căscioarele A	Domestic			M		Alexandru Dinu	5198		ANC-Y1-6A	Y1	5	25	44.21	27.32	0.009631012	160	0	no	PCR
GL566	N	GL566	1841	118182	1.557766834	0.537306866	7	0.0201	42.26552106	20.539774	54.09556054	14.92464344	5	mid 5th - mid 4th millennium BC	Chalcolithic	W	BLW-A	Romania	Calarasi County, Island nr Giurgiu	Căscioarele A	Wild					Alexandru Dinu	Sample no. 5 Specimen No. 5041		ANC-Cside	Eu	4	45	44.21	27.32	0.016312526	271	0	no	PCR
AA514	N	GL164	496	133078	0.372713747	0.063872315	0	0.2056	23.88324873	12.29934414	53.77693719	14.14972804	CT84	8600-8000+ BP	Neolithic	Y		Turkey	SE Anatolia near Diyarbakir	Cayonu, Tepesi						Hitomi Hongo	GT 84 CT348		DNW	-	10	38	_	_	0.005297057	88	0	no	NA
AA515	N	GL166	4852	1692580	0.286662964	0.052759692	2	0.0204	22.08037029	6.790009536	50.40031882	13.37920663	CT88	8600-8300 BP	Neolithic	Y		Turkey	SE Anatolia near Diyarbakir	Cayonu, Tepesi						Hitomi Hongo	GT88 CT332		DNW	-	11	38	_	_	0.022091133	367	0	no	NA
GL372	N	GL372	4385	69557	6.304182182	0.991992179	6	0.1861	36.08433735	16.79515544	49.90702783	16.68496141	4416	14th-15th cent. AD		W	EUW-A	Italy	Tuscany	Cencelle	Wild					Claudia Minniti			ANC-Italy	It	4	41	42.20	11.86	0.014928068	248	0	no	PCR
GL438	N	GL438	5174	78153	6.620347268	1.48554758	107	0.126	41.43741707	16.61015051	50.10814054	15.01340591	3011	14th-15th cent. AD		W	EUW-A	Italy	Tuscany	Cencelle	Wild					Claudia Minniti		Tuscany	ANC-Italy	It	8	41	42.20	11.86	0.288749774	4001	1	no	BOTH
GL464	N	GL464	5294	20580	25.72400389	10.50048591	8	0.1279	46.79228937	17.77209737	53.72597096	17.47618424	95	14th-15th cent. AD		W	EUW-A	Italy	Tuscany	Cencelle	Wild					Claudia Minniti			ANC-Italy	It	10	41	42.20	11.86	0.027809547	462	2	no	PCR
AA053	N	GL484	702	70282	0.998833272	0.132324066	0	0.0313	20.21367521	4.789126521	44.89690106	14.87502753	8	1st 1/2 2nd mill BC		N	NED-A	Syria	Hassake Province	Chagar Bazar	Domestic			M		Augusta McMahon	CB00	AI L38.1	ANC-Arm1T	ArmT	1	24	36.67	41.03	0	0	0	?	PCR
GL527	N	GL527	2995	37075	8.078219825	2.708024275	40	0.1145	41.39781297	15.48167054	46.64281825	13.39334999	17	1st-5th cent AD	Roman	W	EUW-A	England	Gloucestershire	Chedworth Roman villa	Wild					Andy Hammon			ANC-Aside	Eu	13	41	51.82	1.93	0.111238187	1722	1	no	BOTH
AA136	Y	LG500	12454	782009	1.592564791	0.606003256	7	0.0055	32.59643488	15.52049306	45.70571183	13.30398522	POZ-CIE-01	2500 cal. BC?	Neolithic	Y	NED-A	Poland		Ciechrz 25	Domestic	Small Domestic		M		Arkadiusz Marciniak	POZ-CIE-02		ANC-Aside	Eu	12	29	52.67	18.17	0.013423223	223	2	POZ-CIE-01	PCR
AA137	N	LG501	1852	66854	2.770215694	1.145780357	4	0.013	35.7661987	14.06002729	46.46878272	14.52400356	POZ-CIE-02	2500 cal. BC?	Neolithic	Y	EUD-A	Poland		Ciechrz 25	Domestic	Small Domestic		M		Arkadiusz Marciniak	POZ-CIE-02		ANC-Aside	Eu	13	29	52.67	18.17	0.013603804	226	0	POZ-CIE-02	PCR
AA138	N	LG502	299	9527	3.13844862	0.262412092	0	0.3746	21.65551839	10.54003528	55.45533746	16.99541362	POZ-CIE-03	2500 cal. BC?	Neolithic	Y	EUD-A	Poland		Ciechrz 25	Domestic	Small Domestic		M		Arkadiusz Marciniak	POZ-CIE-03		ANC-Aside	Eu	1	30	52.67	18.17	0	0	0	POZ-CIE-03	PCR
AA139	N	LG503	36443	722281	5.045543217	3.067504199	110	0.0246	52.1089098	15.67028344	67.76171739	13.05254709	POZ-CIE-04	2500 cal. BC?	Neolithic	Y	EUD-A	Poland		Ciechrz 25	Domestic	Small Domestic		M		Arkadiusz Marciniak	POZ-CIE-04		ANC-Aside	Eu	2	30	52.67	18.17	0.32221754	4300	3	POZ-CIE-04	BOTH
AA301	N	GL530	32413	249833	12.97386654	8.938370832	278	0.0234	66.20857423	12.65109739	66.71370241	11.70907999	25	1st-5th cent AD	Roman	N	EUD-A	England	York	Coppergate	Domestic			M		Umberto Albarella	No.2 4620		ANC-Aside	Eu	11	41	53.96	1.09	28.89490158	16413	3	no	BOTH
AA302	N	GL531	2955	18072	16.35126162	3.386454183	3	0.5164	39.84324703	19.37187469	57.74235465	18.23230217	27	1st-5th cent AD	Roman	N	EUD-A	England	York	Coppergate	Domestic			M		Umberto Albarella	No.4 4620		ANC-Aside	Eu	12	41	53.96	1.09	0.507855294	6254	1	no	BOTH
GL496	Y	GL496	8071	43161	18.69975209	4.867820486	16	0.1578	44.93085185	15.18043091	52.05741638	14.85413561	63	10th cent. AD		W	?	Italy	Rome	Crypta Balbi	Wild?					Jacopo de Grossi Mazzorin/Claudia Minniti			ANC-Italy	It	12	41	41.90	12.48	0.04297839	714	0	no	PCR
GL707	N	GL707	535	41354	1.293707985	0.372394448	44	0.0953	44.63016529	21.53387238	59.20247924	14.34437074	3991	8th cent AD		W	EUW-A	Italy	Rome	Crypta Balbi	Wild					Jacopo de Grossi Mazzorin/Claudia Minniti			ANC-Italy	It	8	45	41.90	12.48	0.118642027	1787	1	no	BOTH
GL723	N	GL723	1726	21488	8.032390171	3.066827997	1	0.0504	44.35265406	20.57824292	51.78986963	16.6122211	7248	9th cent AD		W	EUW-A	Italy	Rome	Crypta Balbi	Wild					Jacopo de Grossi Mazzorin/Claudia Minniti			ANC-Cside	Eu	9	45	41.90	12.48	0.002889304	48	0	no	PCR
AA084	N	GL1036	1600	52812	3.029614482	1.164508066	5	0.17	34.878125	16.17132389	51.70073089	18.24938646	134	300-400 AD	Epoque Roman	N	EUD-A	Romania	Constanta County	Durostorum	Domestic			M		Adrian Balacescu			ANC-Aside	Eu	1	26	44.12	27.27	0.115090592	1885	1	no	BOTH
VEM183	N		10	4029	0.248200546	`4820055	0	0	38.3	26.33565391	79.48622487	6.458416475			Neo/Bronze Transition	Y	EUD-A	England	Wiltshire	Durrington Walls						Mike Parker Pearson				Eu	None	21	51.19	-1.79	0.637693373	7912	3	no	NGS
VEM184	N		92	3369	2.730780647	0.593647967	0	0.0109	27.42857143	9.925436298	52.77137767	20.13721832			Neo/Bronze Transition	Y	EUD-A	England	Wiltshire	Durrington Walls				M		Mike Parker Pearson				Eu	None	22	51.19	-1.79	1.42358394	12533	3	no	NGS
VEM185	N		NA	NA	50	30	FULL	0.01	0.01	NA	NA	NA			Neo/Bronze Transition	Y	EUD-A	England	Wiltshire	Durrington Walls			Done >3X	5S	Sequenced (3 lane 4000, 5 lanes 2500)	Mike Parker Pearson			E1 haplogroup	Eu	23		51.19	-1.79	372.0433997	16456	3	no	BOTH
AA099	Y	GL353	717	73324	0.977851727	0.252304839	0	0.6109	19.50069735	1.861567209	79.00632808	24.23822277	338IWCI		Iron Age	N	?	Turkey	Southwest Turkey	Erbaba				M		Richard Redding			DNW	Y1	2	27	40.67	36.57	0.416902426	5473	1	no	NGS
AA102	N		157	53531	0.293288001	0.02615307	0	0.2038	18.77070064	3.437859746	62.09400161	21.25312868			Iron Age	N		Turkey	Southwest Turkey	Erbaba						Richard Redding				-	5	27	40.67	36.57	0.026244507	436	0	no	NA
AA105	N		1962	95082	2.063482047	0.091499968	0	0.526	19.09174312	8.726202029	73.74507267	20.59034185			Iron Age	N		Turkey	Southwest Turkey	Erbaba				M		Richard Redding	247 C C I DNA Sample: 2 Box 6			-	8	27	40.67	36.57	0.037019202	599	0	no	NA
AA106	N		4114	120424	3.416262539	0.058127948	0	0.6655	17.27661643	2.146880451	78.10830067	22.46445301			Iron Age	N		Turkey	Southwest Turkey	Erbaba				M		Richard Redding	149 B E I DNA Sample: 4 Box 6			-	9	27	40.67	36.57	0.004394149	73	0	no	NA
AA107	N		1657	194852	0.850389013	0.022581241	0	0.4774	17.43391672	2.923234208	75.24942007	19.78699721			Iron Age	N		Turkey	Southwest Turkey	Erbaba				M		Richard Redding	309 F B I DNA Sample: 5 Box 6			-	10	27	40.67	36.57	0.003009691	50	0	no	NA
AA108	Y		666	131553	0.506259834	0.022044347	0	0.515	19.41291291	4.917889539	75.43089097	17.72337243			Iron Age	N	?	Turkey	Southwest Turkey	Erbaba						Richard Redding	264 G E I DNA Sample: 6 Box 6			Y1	11	27	40.67	36.57	0.064166617	1066	1	no	NGS
AA109	N		1941	685039	0.283341532	0.017663228	0	0.4292	19.20968573	6.579868466	72.16449136	17.8600113			Iron Age	N		Turkey	Southwest Turkey	Erbaba						Richard Redding	294 F K III DNA Sample: 7 Box 6			-	12	27	40.67	36.57	0.002768916	46	0	no	NA
AA110	N		1386	521127	0.26596204	0.030318905	0	0.21	20.14862915	6.968489283	78.16064606	19.39066313			Iron Age	N		Turkey	Southwest Turkey	Erbaba						Richard Redding	294 F K III DNA Sample: 9 Box 6			-	13	27	40.67	36.57	0	0	0	no	NA
AA017	N	GL429	206	19630	1.049414162	0.142638818	0	0.0194	24.4223301	9.518725392	47.20835456	17.3715057	ZMK 119/1971	4500-3900 BC	Late meso (Late part)	W	EUW-A	Denmark	E. Jutland	Flynderhage	Wild			M		Kim Aaris-Sørensen				Eu	5	21	56.02	10.26	0.91374225	9225	1	no	NGS
GL429	Y	GL429	3971	49823	7.97021456	1.734138852	110	0.1607	38.10741074	16.56876198	47.27000102	15.33441364	ZMK 119/1971	4500-3900 BC	Late meso (Late part)	W	EUW-A	Denmark	E. Jutland	Flynderhage	Wild		late meso (late part)			Kim Aaris-Sørensen	ZMK 119/1971		ANC-Cside	Y1	41	56.022	56.02	10.26	0.29230121	4014	1	no	NGS
GL907	N	GL907	157	43305	0.362544741	0.027710426	0	0.3822	22.98969072	14.02415687	61.40959649	12.53827902	Z.M.K. 119/1971	4500-3900 BC	Late mesolithic	W	EUW-A	Denmark	E. Jutland	Flynderhage	Wild					Kim Aaris-Sørensen			ANC-Cside	Eu	12	45	56.02	10.26	0	0	0	no	PCR
GL122	N	GL122	5877	1445395	0.406601656	0.056455156	62	0.4916	21.3731593	10.08010978	62.90979032	12.43707104	17	8,500-7,500 BC cal	Mesolithic II/III	W	EUW-A	Germany	North-East Germany	Friesack	Wild					Susanne Hanik			ANC-Aside	Eu	9	37	52.74	12.59	0.240293746	3525	1	no	BOTH
GL538	N	GL538	1216	22693	5.358480589	0.863702463	7	0.3536	29.81170483	20.21672803	59.97987693	17.48135419	9	8,500-7,500 BC cal	Mesolithic II/III	W	EUW-A	Germany	North-East Germany	Friesack	Wild					Susanne Hanik			ANC-Aside	Eu	3	45	52.74	12.59	0.023716367	394	0	no	PCR
AA630	N		566	9422	6.007217151	0.244109531	0	0.318	24.34715026	13.71637394	57.47987449	16.83078979	FMP_FRI_23		Middle Bronze Age	NA	NA	Italy		Frilli W	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
